,VISIT_ID,TAG
0,1,새로운 지역
1,2,휴양/휴식
2,3,사진촬영 중요
3,4,
4,7,휴양/휴식
5,8,
6,9,
7,11,자연
8,13,
9,14,새로운 지역
10,15,자연
11,16,새로운 지역
12,17,알려지지 않은 방문지
13,18,알려지지 않은 방문지
14,19,
15,20,새로운 지역
16,21,"새로운 지역, 휴양/휴식"
17,22,
18,23,
19,24,
20,26,
21,27,자연
22,28,새로운 지역
23,29,휴양/휴식
24,31,
25,32,
26,33,자연
27,34,자연
28,36,새로운 지역
29,37,도시
30,38,사진촬영 중요
31,39,새로운 지역
32,40,익숙한 지역
33,41,알려지지 않은 방문지
34,42,
35,44,새로운 지역
36,47,휴양/휴식
37,48,
38,49,새로운 지역
39,50,자연
40,51,
41,52,
42,53,
43,54,
44,56,자연
45,57,
46,59,
47,61,자연
48,63,
49,67,
50,68,
51,70,자연
52,72,새로운 지역
53,73,사진촬영 중요
54,74,
55,75,
56,76,자연
57,77,
58,78,새로운 지역
59,80,
60,81,자연
61,82,
62,83,
63,84,
64,85,
65,86,
66,87,
67,89,
68,90,새로운 지역
69,91,
70,92,
71,93,
72,94,
73,95,
74,96,
75,98,새로운 지역
76,99,
77,100,
78,101,
79,103,
80,104,새로운 지역
81,105,도시
82,107,
83,110,
84,111,새로운 지역
85,112,자연
86,114,
87,115,
88,117,익숙한 지역
89,118,
90,119,새로운 지역
91,120,새로운 지역
92,121,새로운 지역
93,122,새로운 지역
94,123,
95,124,자연
96,125,자연
97,128,자연
98,129,
99,131,새로운 지역
100,133,자연
101,134,
102,135,
103,136,자연
104,137,
105,139,
106,140,
107,141,새로운 지역
108,142,
109,146,
110,147,자연
111,148,
112,149,
113,150,
114,151,자연
115,154,
116,155,
117,158,
118,159,
119,160,
120,161,새로운 지역
121,162,새로운 지역
122,164,자연
123,165,새로운 지역
124,166,계획에 따른 여행
125,167,
126,169,자연
127,170,도시
128,171,
129,174,
130,175,
131,176,
132,177,계획에 따른 여행
133,178,
134,179,
135,180,
136,181,
137,182,
138,185,
139,186,
140,189,
141,191,
142,192,
143,195,
144,197,
145,200,
146,203,
147,204,
148,205,자연
149,206,휴양/휴식
150,207,
151,208,자연
152,209,사진촬영 중요
153,210,새로운 지역
154,211,
155,212,
156,213,
157,214,
158,215,
159,216,자연
160,217,자연
161,219,자연
162,220,
163,223,새로운 지역
164,224,
165,225,도시
166,226,
167,227,
168,228,자연
169,229,자연
170,230,새로운 지역
171,231,자연
172,232,
173,234,자연
174,235,새로운 지역
175,237,새로운 지역
176,238,자연
177,239,체험활동
178,240,자연
179,241,자연
180,243,자연
181,244,
182,245,휴양/휴식
183,247,
184,248,도시
185,249,
