,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,TRAVEL_NM,MVMN_NM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS,rating
0,2208260003,a_a015688,a015688,프로방스마을,경기 파주시 탄현면 성동리 82-1,60.0,7,1.0,4.0,4.0,4.0,10,A03,대중교통 등,4,2,6,5,6,6,1.0,0.0,0.0,13.2
1,2208140001,a_a015688,a015688,헤이리예술마을,경기 파주시 탄현면 법흥리 1652-239,150.0,7,0.0,4.0,4.0,3.0,10,A03,대중교통 등,4,2,6,5,6,6,1.0,0.0,0.0,12.2
2,2208080005,a_a015688,a015688,롯데프리미엄아울렛 파주점,경기 파주시 문발동 644,90.0,4,1.0,5.0,5.0,5.0,10,A03,대중교통 등,4,2,6,5,6,6,1.0,0.0,0.0,16.5
3,2208080006,a_a015688,a015688,지혜의숲,경기 파주시 문발동 524-3,30.0,3,1.0,5.0,5.0,5.0,10,A03,대중교통 등,4,2,6,5,6,6,1.0,0.0,0.0,16.5
4,2208080006,a_a000491,a000491,더현대서울,서울 영등포구 여의도동 22,180.0,4,0.0,5.0,5.0,5.0,08,A01,자가용,4,4,4,4,5,7,2.0,0.0,0.0,16.5
5,2208190007,a_a000491,a000491,세종문화회관,서울 종로구 세종로 81-3,60.0,3,0.0,5.0,5.0,5.0,08,A01,자가용,4,4,4,4,5,7,2.0,0.0,0.0,16.5
6,2208190005,a_a000491,a000491,한식문화공간이음,서울 종로구 재동 54-5,60.0,13,0.0,5.0,5.0,5.0,08,A01,자가용,4,4,4,4,5,7,2.0,0.0,0.0,16.5
7,2208110007,a_a000172,a000172,강릉중앙시장,강원 강릉시 성남동 50,30.0,4,0.0,4.0,4.0,4.0,08,A01,대중교통 등,7,1,7,7,2,4,1.0,0.0,0.0,13.2
8,2208100006,a_a000172,a000172,코엑스 아쿠아리움,서울 강남구 삼성동 159,120.0,6,0.0,4.0,4.0,4.0,08,A01,대중교통 등,7,1,7,7,2,4,1.0,0.0,0.0,13.2
9,2208100007,a_a000172,a000172,망원시장,서울 마포구 망원동 403-6,30.0,4,0.0,3.0,3.0,3.0,08,A01,대중교통 등,7,1,7,7,2,4,1.0,0.0,0.0,9.9
