,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RATING,VISIT_MM,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_MISSION,TRAVEL_MM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS
0,1047,d_d006731,d006731,미스틱3도,제주특별자치도 제주시 노형동 291-10,60.0,13,0.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
1,2494,d_d006731,d006731,이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,90.0,1,1.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
2,1996,d_d006731,d006731,어음리억새군락지,제주특별자치도 제주시 애월읍 어음리 산 68-5,180.0,1,0.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
3,1306,d_d006731,d006731,산양큰엉곶,제주특별자치도 제주시 한경면 청수리 956-6,150.0,1,1.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
4,1110,d_d006731,d006731,백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,30.0,1,1.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
5,881,d_d006731,d006731,마노르블랑,제주특별자치도 서귀포시 안덕면 덕수리 2952,90.0,13,0.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
6,3264,d_d006731,d006731,파더스가든,제주특별자치도 서귀포시 안덕면 상창리 804,120.0,13,0.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
7,697,d_d006731,d006731,덴드리,제주특별자치도 서귀포시 성산읍 삼달리 115-11,30.0,13,0.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
8,1671,d_d006731,d006731,송악산,제주특별자치도 서귀포시 대정읍 상모리 산 2,90.0,1,1.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
9,3528,d_d006731,d006731,항파두리 항몽유적지,제주특별자치도 제주시 애월읍 상귀리 1012,60.0,2,0.0,5.0,5.0,5.0,16.5,10,자가용,2;21;22;23;24;,2;21;22;23;24;,10,1,2,6,2,2,7,3.0,0.0,0.0
