,VISIT_ID,TAG
0,1,자연
1,2,
2,3,도시
3,4,도시
4,5,
5,6,
6,7,
7,9,
8,10,
9,11,
10,12,
11,14,
12,15,자연
13,16,
14,18,자연
15,19,
16,20,
17,21,
18,22,
19,23,새로운 지역
20,24,
21,25,
22,26,
23,27,
24,28,알려지지 않은 방문지
25,29,도시
26,30,새로운 지역
27,31,
28,32,자연
29,33,익숙한 지역
30,34,
31,35,
32,36,
33,38,
34,39,사진촬영 중요
35,40,
36,41,
37,42,익숙한 지역
38,43,
39,44,사진촬영 중요
40,46,
41,48,
42,49,
43,50,
44,51,
45,52,
46,53,
47,54,자연
48,55,자연
49,56,
50,57,
51,59,자연
52,61,
53,64,
54,65,도시
55,66,
56,68,
57,69,새로운 지역
58,70,도시
59,71,
60,72,
61,73,새로운 지역
62,75,체험활동
63,79,
64,80,휴양/휴식
65,81,
66,82,
67,83,자연
68,90,"도시, 자연"
69,91,
70,92,자연
71,93,
72,94,"익숙한 지역, 자연"
73,95,
74,97,자연
75,98,
76,99,
77,103,
78,104,자연
79,105,
80,106,자연
81,107,자연
82,108,
83,110,휴양/휴식
84,111,
85,112,도시
86,113,
87,115,도시
88,116,
89,118,
90,119,도시
91,121,자연
92,122,자연
93,124,자연
94,125,
95,127,새로운 지역
96,129,자연
97,130,
98,131,
99,132,휴양/휴식
100,133,
101,137,알려지지 않은 방문지
102,138,
103,139,
104,140,
105,141,
106,142,
107,144,
108,146,"새로운 지역, 자연"
109,147,자연
110,148,새로운 지역
111,149,
112,150,
113,152,
114,153,자연
115,154,휴양/휴식
116,158,자연
117,159,
118,160,새로운 지역
119,161,
120,163,자연
121,164,자연
122,165,
123,167,
124,168,
125,170,자연
126,171,
127,172,도시
128,173,
129,174,
130,176,
131,177,
132,179,
133,181,계획에 따른 여행
134,182,사진촬영 중요
135,184,
136,187,새로운 지역
137,188,새로운 지역
138,189,자연
139,190,
140,191,
141,192,새로운 지역
142,193,
143,195,사진촬영 중요
144,196,
145,197,
146,198,자연
147,200,자연
148,202,휴양/휴식
149,203,자연
150,204,새로운 지역
151,205,"자연, 휴양/휴식"
152,206,휴양/휴식
153,207,자연
154,209,자연
155,210,자연
156,212,자연
157,213,
158,214,자연
159,216,
160,217,
161,219,자연
162,220,
163,221,
164,222,
165,223,
166,224,
167,225,자연
168,227,자연
169,228,자연
170,229,자연
171,231,
172,232,도시
173,234,
174,235,자연
175,238,
176,239,도시
177,240,체험활동
178,241,
179,243,자연
180,244,
181,247,자연
182,248,도시
183,249,"새로운 지역, 체험활동"
184,250,자연
185,251,
186,252,
187,253,사진촬영 중요
188,256,자연
189,258,자연
190,261,
191,262,
192,263,
193,266,
194,267,
195,268,자연
196,269,
197,270,
198,272,
199,273,
200,274,
201,275,도시
202,276,
203,277,도시
204,278,자연
205,279,
206,280,
207,281,새로운 지역
208,282,
209,283,
210,284,
211,285,
212,286,자연
213,287,새로운 지역
214,288,
215,289,자연
216,290,
217,291,
218,292,
219,293,자연
220,294,
221,295,
222,297,새로운 지역
223,300,
224,302,
225,303,체험활동
226,304,자연
227,305,
228,306,새로운 지역
229,307,자연
230,308,"자연, 휴양/휴식"
231,309,
232,311,
233,312,
234,313,자연
235,314,익숙한 지역
236,315,
237,316,도시
238,317,
239,318,자연
240,319,
241,320,
242,323,
243,324,
244,326,휴양/휴식
245,328,
246,330,
247,331,
248,333,도시
249,335,도시
250,336,자연
251,337,
252,338,
253,340,
254,341,
255,342,
256,343,
257,344,
258,345,상황에 따른 여행
259,346,
260,347,
261,349,자연
262,350,자연
263,351,새로운 지역
264,352,
265,355,
266,359,"도시, 익숙한 지역"
267,360,
268,361,새로운 지역
269,362,
270,363,휴양/휴식
271,364,
272,365,자연
273,366,
274,367,새로운 지역
275,368,
276,369,자연
277,370,자연
278,371,
279,373,
280,375,
281,376,새로운 지역
282,377,자연
283,378,
284,379,자연
285,381,자연
286,382,
287,383,
288,384,
289,385,휴양/휴식
290,386,
291,388,
292,389,
293,390,
294,391,
295,395,
296,396,자연
297,397,알려지지 않은 방문지
298,398,자연
299,399,
300,401,
301,402,새로운 지역
302,403,새로운 지역
303,405,
304,406,사진촬영 중요
305,407,
306,408,
307,409,
308,410,
309,411,
310,415,자연
311,417,자연
312,418,"도시, 체험활동"
313,419,자연
314,420,
315,421,새로운 지역
316,422,휴양/휴식
317,424,새로운 지역
318,425,도시
319,426,
320,427,새로운 지역
321,428,자연
322,429,
323,430,
324,431,
325,432,
326,434,
327,435,새로운 지역
328,436,도시
329,437,
330,438,자연
331,439,
332,440,
333,441,새로운 지역
334,442,새로운 지역
335,443,
336,444,
337,445,새로운 지역
338,446,
339,448,휴양/휴식
340,449,
341,450,
342,451,
343,452,
344,454,
345,456,익숙한 지역
346,457,
347,458,
348,459,
349,460,자연
350,461,새로운 지역
351,463,자연
352,465,사진촬영 중요
353,466,
354,468,
355,470,도시
356,471,
357,472,
358,474,"도시, 자연"
359,475,
360,476,
361,477,
362,478,
363,479,
364,481,도시
365,483,
366,484,자연
367,485,자연
368,486,자연
369,488,
370,490,
371,491,새로운 지역
372,492,익숙한 지역
373,494,자연
374,495,새로운 지역
375,496,
376,498,
377,499,
378,500,새로운 지역
379,501,자연
380,504,
381,506,도시
382,507,
383,508,도시
384,510,익숙한 지역
385,511,
386,513,
387,514,
388,516,
389,517,상황에 따른 여행
390,518,
391,519,도시
392,520,
393,523,
394,524,
395,526,자연
396,527,익숙한 지역
397,528,
398,529,자연
399,530,
400,531,휴양/휴식
401,532,도시
402,533,"사진촬영 중요, 자연"
403,536,
404,537,자연
405,540,
406,542,자연
407,543,
408,544,자연
409,545,
410,546,
411,547,도시
412,548,자연
413,550,
414,551,새로운 지역
415,553,자연
416,554,자연
417,555,자연
418,556,자연
419,558,잘 알려지지 않은 방문지
420,559,
421,560,
422,561,도시
423,562,자연
424,563,자연
425,564,
426,565,자연
427,566,
428,567,
429,568,
430,569,도시
431,570,
432,571,
433,572,
434,576,
435,579,
436,581,
437,584,도시
438,585,
439,586,자연
440,587,
441,588,자연
442,589,
443,591,
444,592,
445,593,
446,594,새로운 지역
447,595,자연
448,596,
449,597,
450,598,
451,599,새로운 지역
452,600,도시
453,601,체험활동
454,604,
455,605,새로운 지역
456,607,
457,608,계획에 따른 여행
458,609,
459,611,새로운 지역
460,612,도시
461,613,도시
462,615,
463,617,
464,619,자연
465,621,"새로운 지역, 자연"
466,623,
467,624,
468,626,자연
469,628,자연
470,629,자연
471,630,사진촬영 중요
472,631,
473,632,자연
474,633,
475,634,
476,635,
477,636,
478,639,자연
479,640,
480,641,
481,642,
482,645,
483,646,
484,647,
485,648,
486,649,
487,650,
488,651,
489,652,자연
490,655,자연
491,656,
492,657,
493,658,
494,659,
495,661,
496,662,자연
497,666,
498,667,
499,668,
500,671,새로운 지역
501,672,자연
502,673,
503,674,
504,675,
505,676,
506,677,자연
507,678,
508,679,
509,680,
510,681,
511,682,자연
512,683,도시
513,686,
514,687,자연
515,688,새로운 지역
516,690,자연
517,691,
518,692,새로운 지역
519,693,
520,694,자연
521,695,자연
522,699,자연
523,701,자연
524,702,
525,703,
526,704,
527,707,자연
528,708,
529,709,
530,711,자연
531,712,
532,713,새로운 지역
533,715,새로운 지역
534,716,
535,719,
536,720,
537,721,
538,722,
539,723,
540,724,사진촬영 중요
541,725,
542,726,자연
543,727,자연
544,728,
545,731,도시
546,733,
547,734,도시
548,735,자연
549,736,자연
550,737,도시
551,740,
552,741,새로운 지역
553,742,
554,743,
555,744,자연
556,747,
557,749,자연
558,750,자연
559,752,상황에 따른 여행
560,753,
561,754,"상황에 따른 여행, 자연"
562,755,도시
563,757,
564,758,자연
565,761,도시
566,762,도시
567,763,자연
568,765,휴양/휴식
569,766,
570,769,
571,770,
572,773,자연
573,774,자연
574,776,
