,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RATING,VISIT_MM,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_MISSION,TRAVEL_MM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS
0,430,b_b001138,b001138,광안리해수욕장,부산 수영구 광안동 192-20,30.0,1,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
1,2771,b_b001138,b001138,절영해안산책로,부산 영도구 영선동4가 186-47,30.0,7,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
2,950,b_b001138,b001138,동백섬,부산 해운대구 우동 708-3,30.0,7,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
3,2360,b_b001138,b001138,오륙도스카이워크,부산 남구 용호동 산 197-4,30.0,1,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
4,3712,b_b001138,b001138,흰여울문화마을,부산 영도구 영선동4가 1044-6,30.0,7,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
5,2642,b_b001138,b001138,이기대해안산책로,부산 남구 용호동,90.0,7,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
6,2706,b_b001138,b001138,자갈치시장,부산 중구 남포동5가 105-1,30.0,4,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
7,3236,b_b001138,b001138,태종대유원지,부산 영도구 동삼동 산 29-1,60.0,1,0.0,4.0,4.0,4.0,13.2,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
8,3096,b_b001138,b001138,초량차이나타운,부산 동구 초량동 1109,30.0,2,0.0,4.0,1.0,4.0,10.8,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
9,2447,b_b001138,b001138,용두산공원,부산 중구 광복동2가 1-2,30.0,2,0.0,3.0,3.0,3.0,9.9,09,대중교통 등,4;,4;,09,6,2,6,6,2,6,1.0,0.0,0.0
10,1211,b_b005770,b005770,문막교,강원 원주시 문막읍 취병리,1140.0,1,0.0,4.0,3.0,4.0,12.4,10,자가용,22;24;26;27;8;,22;24;26;27;8;,10,3,2,2,3,7,3,2.0,0.0,0.0
11,2384,b_b003860,b003860,오죽헌,강원 강릉시 죽헌동 201,60.0,2,1.0,5.0,5.0,5.0,16.5,10,자가용,21;22;23;24;3;,21;22;23;24;3;,09,1,2,3,2,4,5,2.0,0.0,0.0
12,2787,b_b003860,b003860,정동진해변,강원 강릉시 강동면 정동진리 64-3,60.0,1,1.0,5.0,4.0,5.0,15.7,10,자가용,21;22;23;24;3;,21;22;23;24;3;,09,1,2,3,2,4,5,2.0,0.0,0.0
13,2126,b_b003860,b003860,안목해변,강원 강릉시 견소동 286-10,30.0,1,1.0,4.0,4.0,4.0,13.2,09,자가용,21;22;23;24;3;,21;22;23;24;3;,09,1,2,3,2,4,5,2.0,0.0,0.0
14,2748,b_b003860,b003860,장호항,강원 삼척시 근덕면 장호리 3-1,90.0,13,1.0,4.0,4.0,5.0,14.2,10,자가용,21;22;23;24;3;,21;22;23;24;3;,09,1,2,3,2,4,5,2.0,0.0,0.0
15,142,b_b003860,b003860,강릉중앙시장,강원 강릉시 성남동 50,30.0,4,1.0,4.0,5.0,4.0,14.0,09,자가용,21;22;23;24;3;,21;22;23;24;3;,09,1,2,3,2,4,5,2.0,0.0,0.0
16,1239,b_b007815,b007815,미래농원(mrnw),,90.0,1,0.0,5.0,4.0,5.0,15.7,10,대중교통 등,22;24;26;27;28;12;11;9;8;6;5;,22;24;26;27;28;12;11;9;8;6;5;,10,2,2,3,3,7,6,1.0,0.0,0.0
17,3703,b_b001219,b001219,휴휴암,강원 양양군 현남면 광진리 1,30.0,2,0.0,5.0,5.0,5.0,16.5,08,자가용,2;22;23;4;6;,2;22;23;4;6;,08,3,4,7,5,2,7,3.0,1.0,0.0
18,776,b_b001219,b001219,대관령삼양목장,강원 평창군 대관령면 횡계리 704-6,150.0,13,0.0,3.0,3.0,3.0,9.9,08,자가용,2;22;23;4;6;,2;22;23;4;6;,08,3,4,7,5,2,7,3.0,1.0,0.0
19,1003,b_b001219,b001219,등대해수욕장,강원 속초시 영랑동 1-9,210.0,1,0.0,5.0,4.0,5.0,15.7,08,자가용,2;22;23;4;6;,2;22;23;4;6;,08,3,4,7,5,2,7,3.0,1.0,0.0
20,869,b_b001219,b001219,대포항원조튀김골목,강원 속초시 대포동 964,30.0,4,1.0,3.0,4.0,4.0,11.7,08,자가용,2;22;23;4;6;,2;22;23;4;6;,08,3,4,7,5,2,7,3.0,1.0,0.0
21,1864,b_b001219,b001219,속초관광수산시장,강원 속초시 중앙동 471-4,60.0,4,1.0,5.0,5.0,5.0,16.5,08,자가용,2;22;23;4;6;,2;22;23;4;6;,08,3,4,7,5,2,7,3.0,1.0,0.0
