,VISIT_ID,TAG
0,1,자연
1,2,
2,3,
3,4,
4,5,상황에 따른 여행
5,7,
6,8,자연
7,11,
8,12,자연
9,13,
10,18,자연
11,23,
12,25,도시
13,26,
14,27,새로운 지역
15,28,자연
16,29,
17,30,
18,31,
19,32,휴양/휴식
20,33,자연
21,38,
22,39,
23,40,
24,41,자연
25,42,자연
26,43,
27,45,
28,46,
29,49,
30,50,계획에 따른 여행
31,51,자연
32,54,상황에 따른 여행
33,55,도시
34,57,
35,58,자연
36,59,
37,64,자연
38,65,
39,66,자연
40,67,자연
41,68,도시
42,69,
43,70,자연
44,73,
45,77,
46,78,자연
47,79,
48,80,
49,84,자연
50,85,
51,87,
52,88,"새로운 지역, 자연"
53,89,
54,90,
55,91,"새로운 지역, 휴양/휴식"
56,92,
57,93,
58,95,새로운 지역
59,96,
60,97,자연
61,98,
62,100,자연
63,101,자연
64,102,새로운 지역
65,103,자연
66,104,자연
67,105,자연
68,106,알려지지 않은 방문지
69,107,자연
70,108,자연
71,112,
72,113,"상황에 따른 여행, 새로운 지역"
73,116,
74,117,
75,118,자연
76,119,
77,121,
78,122,자연
79,123,자연
80,125,
81,126,자연
82,127,새로운 지역
83,128,
84,129,
85,130,자연
86,132,
87,135,
88,136,도시
89,137,새로운 지역
90,138,도시
91,139,
92,140,
93,142,새로운 지역
94,143,"새로운 지역, 자연"
95,144,
96,145,
97,146,
98,148,
99,149,
100,150,자연
101,151,자연
102,152,자연
103,153,휴양/휴식
104,154,
105,156,
106,158,
107,159,
108,161,
109,163,
110,164,
111,165,자연
112,166,새로운 지역
113,167,자연
114,168,새로운 지역
115,169,자연
116,170,자연
117,171,
118,172,
119,174,자연
120,175,자연
121,177,
122,178,
123,179,자연
124,180,상황에 따른 여행
125,181,
126,182,도시
127,184,
128,185,도시
129,187,
130,188,
131,190,
132,191,휴양/휴식
133,193,자연
134,195,
135,196,
136,197,
137,198,
138,199,자연
139,200,
140,202,
141,203,자연
142,204,익숙한 지역
143,205,
144,207,자연
145,208,
146,210,자연
147,211,
148,212,
149,214,새로운 지역
150,215,
151,216,자연
152,217,자연
153,218,
154,219,
155,220,
156,221,
157,223,
158,225,새로운 지역
159,226,
160,229,
161,230,도시
162,231,자연
163,232,
164,233,
165,234,자연
166,235,
167,236,자연
168,238,체험활동
169,240,
170,242,
171,243,
172,244,
173,245,
174,246,
175,247,자연
176,249,새로운 지역
177,250,
178,251,
179,252,
180,253,
181,254,
182,256,자연
183,257,
184,258,자연
185,259,
186,260,자연
187,262,자연
188,263,
189,264,
190,265,자연
191,266,
192,268,새로운 지역
193,269,
194,270,새로운 지역
195,271,새로운 지역
196,272,자연
197,273,새로운 지역
198,274,
199,275,자연
200,276,자연
201,277,
202,278,새로운 지역
203,281,자연
204,282,새로운 지역
205,284,
206,287,
207,288,
208,289,자연
209,290,
210,291,
211,292,
212,295,도시
213,296,
214,297,
215,301,
216,302,새로운 지역
217,303,자연
218,305,
219,306,자연
220,307,자연
221,309,새로운 지역
222,311,
223,312,익숙한 지역
224,315,자연
225,316,
226,317,
227,319,자연
228,320,
229,323,자연
230,324,자연
231,327,"새로운 지역, 자연"
232,328,상황에 따른 여행
233,329,
234,330,
235,331,휴양/휴식
236,332,
237,333,
238,334,
239,335,
240,336,도시
241,337,새로운 지역
242,338,
243,340,
244,342,자연
245,344,새로운 지역
246,345,자연
247,346,
248,347,자연
249,348,자연
250,349,자연
251,351,자연
252,353,
253,354,자연
254,356,체험활동
255,357,
256,358,자연
257,360,자연
258,361,휴양/휴식
259,362,휴양/휴식
260,363,자연
261,364,자연
262,365,
263,366,
264,367,도시
265,368,익숙한 지역
266,370,알려지지 않은 방문지
267,371,
268,372,자연
269,373,자연
270,375,
271,376,
272,377,휴양/휴식
273,378,
274,379,자연
275,380,
276,381,자연
277,383,
278,384,자연
279,385,
280,387,자연
281,389,
282,390,도시
283,392,
284,394,
285,395,
286,396,
287,398,자연
288,399,자연
289,400,자연
290,403,자연
291,404,익숙한 지역
292,406,자연
293,407,자연
294,409,
295,410,
296,411,도시
297,412,자연
298,414,
299,416,"새로운 지역, 자연"
300,417,자연
301,418,새로운 지역
302,419,
303,421,자연
304,422,자연
305,423,자연
306,424,"새로운 지역, 자연"
307,426,도시
308,427,
309,428,새로운 지역
310,429,자연
311,431,
312,432,
313,434,자연
314,435,"새로운 지역, 자연"
315,436,새로운 지역
316,437,새로운 지역
317,438,
318,439,"새로운 지역, 자연"
319,440,자연
320,441,새로운 지역
321,442,"새로운 지역, 자연"
322,444,자연
323,445,새로운 지역
324,446,자연
325,447,
326,448,
327,454,새로운 지역
328,456,
329,457,
330,458,"새로운 지역, 자연"
331,459,자연
332,460,자연
333,462,
334,464,
335,465,새로운 지역
336,466,
337,467,
338,468,도시
339,469,
340,471,새로운 지역
341,473,알려지지 않은 방문지
342,474,
343,476,
344,478,
345,479,
346,480,
347,481,자연
348,482,
349,483,도시
350,484,
351,487,새로운 지역
352,488,
353,492,자연
354,493,
355,494,도시
356,495,자연
357,496,
358,497,도시
359,499,자연
360,501,"도시, 새로운 지역"
361,502,상황에 따른 여행
362,504,자연
363,505,
364,506,
365,507,
366,508,
367,511,
368,512,
369,513,자연
370,515,자연
371,516,자연
372,517,
373,519,
374,521,자연
375,522,
376,523,
377,525,자연
378,526,
379,527,자연
380,528,새로운 지역
381,529,자연
382,530,
383,532,자연
384,534,자연
385,537,
386,538,자연
387,539,
388,540,
389,542,새로운 지역
390,544,자연
391,546,
392,547,
393,548,
394,549,새로운 지역
395,550,
396,551,자연
397,552,
398,554,
399,555,새로운 지역
400,558,
401,560,자연
402,561,자연
403,562,자연
404,563,자연
405,567,새로운 지역
406,568,새로운 지역
407,570,자연
408,571,
409,573,
410,574,
411,575,
412,576,새로운 지역
413,577,자연
414,580,
415,584,자연
416,585,사진촬영 중요
417,586,
418,587,
419,588,
420,589,
421,590,자연
422,591,자연
423,592,계획에 따른 여행
424,594,
425,595,
426,597,자연
427,598,
428,601,자연
429,602,
430,603,
431,606,
432,607,
433,609,
434,611,
435,613,
436,614,
437,618,
438,619,
439,620,
440,621,
441,622,
442,623,
443,624,
444,625,
445,626,새로운 지역
446,629,
447,630,
448,631,
449,632,휴양/휴식
450,633,
451,634,
452,636,
453,637,자연
454,638,자연
455,640,
456,641,
457,644,새로운 지역
458,645,
459,646,자연
460,647,
461,648,새로운 지역
462,649,새로운 지역
463,650,새로운 지역
464,652,
465,653,익숙한 지역
466,654,자연
467,656,
468,657,
469,658,
470,660,
471,661,자연
472,662,
473,664,
474,665,
475,666,도시
476,667,
477,668,자연
478,669,
479,670,잘 알려지지 않은 방문지
480,671,
481,672,새로운 지역
482,673,
483,674,
484,675,자연
485,676,"새로운 지역, 자연"
486,679,자연
487,680,
488,681,
489,682,자연
490,683,
491,684,
492,685,자연
493,686,
494,687,
495,688,
496,689,휴양/휴식
497,690,
498,691,
499,693,자연
500,694,자연
501,695,
502,697,
503,698,
504,699,
505,700,
506,701,
507,702,계획에 따른 여행
508,703,
509,704,자연
510,705,
511,706,휴양/휴식
512,708,
513,709,
514,710,
515,711,자연
516,712,자연
517,713,
518,714,자연
519,716,
520,717,
521,719,
522,721,도시
523,723,자연
524,724,
525,725,
526,726,
527,727,자연
528,728,새로운 지역
529,731,
530,732,
531,734,자연
532,735,
533,737,
534,738,
535,740,
536,742,
537,743,
538,745,
539,746,
540,747,
541,748,자연
542,749,
543,754,
544,755,자연
545,756,
546,758,자연
547,759,
548,760,
549,761,
550,762,새로운 지역
551,763,
552,767,
553,768,
554,769,
555,771,도시
556,772,
557,773,
558,775,
559,776,
560,777,
561,778,
562,779,
563,782,새로운 지역
564,784,자연
565,785,휴양/휴식
566,786,
567,787,새로운 지역
568,788,
569,790,
570,792,상황에 따른 여행
