,VISIT_ID,TRAVEL_ID,TRAVELER_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RATING,VISIT_MM,MVMN_NM,TRAVEL_PURPOSE,TRAVEL_MISSION,TRAVEL_MM,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,NUMBER_OF_PERSON,CHILDREN,PARENTS
0,1696,c_c003528,c003528,생거진천문화축제,충북 진천군 진천읍 읍내리 165,60.0,8,1.0,3.0,4.0,4.0,11.7,10,자가용,1;11;22;6;9;,1;11;22;6;9;,10,3,4,3,2,6,5,3.0,0.0,0.0
1,1379,c_c003528,c003528,백곡면 소재 밭,,360.0,1,1.0,5.0,4.0,4.0,14.7,10,자가용,1;11;22;6;9;,1;11;22;6;9;,10,3,4,3,2,6,5,3.0,0.0,0.0
2,2998,c_c003528,c003528,진천농다리,충북 진천군 문백면 구산동리 601-32,60.0,8,1.0,5.0,5.0,5.0,16.5,10,자가용,1;11;22;6;9;,1;11;22;6;9;,10,3,4,3,2,6,5,3.0,0.0,0.0
3,2998,c_c003528,c003528,진천농다리,충북 진천군 문백면 구산동리 601-32,30.0,7,1.0,5.0,5.0,5.0,16.5,10,자가용,1;11;22;6;9;,1;11;22;6;9;,10,3,4,3,2,6,5,3.0,0.0,0.0
4,2320,c_c001050,c001050,오목대,전북 전주시 완산구 교동 산 1-3,30.0,2,0.0,5.0,5.0,4.0,15.5,08,자가용,23;24;3;8;,23;24;3;8;,08,1,1,3,1,1,6,2.0,0.0,0.0
5,3411,c_c001050,c001050,한벽당,전북 전주시 완산구 교동 산 7-3,30.0,2,0.0,4.0,4.0,4.0,13.2,08,자가용,23;24;3;8;,23;24;3;8;,08,1,1,3,1,1,6,2.0,0.0,0.0
6,644,c_c001776,c001776,남당노을전망대,충남 홍성군 서부면 남당리 767-18,30.0,1,0.0,4.0,4.0,4.0,13.2,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
7,2594,c_c001776,c001776,의좋은형제공원,충남 예산군 대흥면 상중리 274-1,30.0,1,0.0,3.0,3.0,3.0,9.9,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
8,2014,c_c001776,c001776,신리성지,충남 당진시 합덕읍 신리 62-3,90.0,2,0.0,5.0,3.0,5.0,14.9,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
9,2292,c_c001776,c001776,예당호출렁다리,충남 예산군 응봉면 후사리 35,90.0,1,1.0,5.0,5.0,5.0,16.5,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
10,1853,c_c001776,c001776,속동전망대,충남 홍성군 서부면 상황리 628-2,30.0,1,0.0,2.0,4.0,2.0,8.2,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
11,2292,c_c001776,c001776,예당호출렁다리,충남 예산군 응봉면 후사리 35,90.0,1,0.0,5.0,5.0,5.0,16.5,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
12,79,c_c001776,c001776,간월암,충남 서산시 부석면 간월도리 16-11,30.0,2,0.0,4.0,4.0,4.0,13.2,08,자가용,13;,13;,08,3,2,2,3,2,1,1.0,0.0,0.0
13,3155,c_c003334,c003334,추정리메밀밭,충북 청주시 상당구 낭성면 추정리 339-2,60.0,1,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;12;21;28;3;,1;12;21;28;3;,10,2,4,3,2,6,5,2.0,0.0,0.0
14,1660,c_c003334,c003334,상당산성,충북 청주시 상당구 산성동 산 28-2,30.0,2,0.0,5.0,5.0,5.0,16.5,10,대중교통 등,1;12;21;28;3;,1;12;21;28;3;,10,2,4,3,2,6,5,2.0,0.0,0.0
15,898,c_c003334,c003334,대청호,대전 동구 내탑동,90.0,1,0.0,4.0,4.0,4.0,13.2,10,대중교통 등,1;12;21;28;3;,1;12;21;28;3;,10,2,4,3,2,6,5,2.0,0.0,0.0
16,2153,c_c012431,c012431,양방산전망대,충북 단양군 단양읍 기촌리 354-2,30.0,1,0.0,4.0,4.0,4.0,13.2,10,,21;22;26;27;9;,21;22;26;27;9;,10,2,2,7,1,1,7,2.0,0.0,0.0
