,VISIT_ID,TAG
0,1,새로운 지역
1,2,휴양/휴식
2,3,사진촬영 중요
3,4,
4,6,
5,8,자연
6,10,
7,11,새로운 지역
8,12,자연
9,13,새로운 지역
10,14,알려지지 않은 방문지
11,15,알려지지 않은 방문지
12,16,
13,17,새로운 지역
14,18,"새로운 지역, 휴양/휴식"
15,19,자연
16,20,새로운 지역
17,21,휴양/휴식
18,23,
19,24,자연
20,25,자연
21,27,새로운 지역
22,28,도시
23,29,사진촬영 중요
24,30,새로운 지역
25,31,익숙한 지역
26,32,알려지지 않은 방문지
27,33,
28,35,새로운 지역
29,38,휴양/휴식
30,39,
31,40,새로운 지역
32,41,자연
33,42,
34,43,
35,44,
36,46,자연
37,48,
38,49,
39,51,자연
40,53,새로운 지역
41,54,
42,55,자연
43,56,
44,57,새로운 지역
45,59,
46,60,자연
47,61,
48,62,
49,63,
50,64,
51,66,
52,67,
53,68,
54,70,새로운 지역
55,71,
56,72,
57,73,
58,75,
59,76,새로운 지역
60,77,도시
61,79,
62,81,
63,82,새로운 지역
64,83,자연
65,85,익숙한 지역
66,86,
67,87,새로운 지역
68,88,새로운 지역
69,89,새로운 지역
70,90,새로운 지역
71,91,
72,92,자연
73,93,자연
74,96,자연
75,97,
76,99,새로운 지역
77,101,자연
78,102,
79,103,
80,105,
81,106,새로운 지역
82,107,
83,111,
84,112,자연
85,113,
86,114,
87,115,
88,116,자연
89,119,
90,122,
91,123,
92,124,
93,125,새로운 지역
94,126,새로운 지역
95,128,자연
96,129,계획에 따른 여행
97,130,
98,132,자연
99,133,
100,136,
101,137,
102,138,
103,139,계획에 따른 여행
104,140,
105,141,
106,142,
107,143,
108,144,
109,147,
110,148,
111,151,
112,153,
113,156,
114,160,
115,163,
116,164,
117,165,자연
118,166,휴양/휴식
119,167,
120,168,자연
121,169,
122,170,
123,171,자연
124,172,자연
125,174,자연
126,175,
127,178,새로운 지역
128,179,
129,180,도시
130,181,
131,182,
132,183,자연
133,184,자연
134,185,새로운 지역
135,186,자연
136,187,
137,189,자연
138,190,새로운 지역
139,192,새로운 지역
140,193,자연
141,194,체험활동
142,195,자연
143,196,자연
144,198,자연
145,199,
146,200,휴양/휴식
147,202,
148,203,도시
149,204,
150,205,자연
151,206,
152,207,자연
153,208,
154,209,
155,212,자연
156,213,
157,214,자연
158,215,자연
159,216,새로운 지역
160,217,휴양/휴식
161,218,도시
162,219,새로운 지역
163,220,
164,221,자연
165,222,
166,223,
167,224,"자연, 휴양/휴식"
168,225,
169,228,자연
170,229,새로운 지역
171,230,
172,231,
173,232,
174,234,새로운 지역
175,235,새로운 지역
176,237,
177,238,
178,240,
179,242,자연
180,244,
181,245,자연
