,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY,NUMBER_OF_PERSON,CHILDREN,PARENTS
0,b015583,1,1,7,1,1,7,2인 여행(가족 외),2.0,0.0,0.0
1,a001105,6,2,4,6,6,5,3인 이상 여행(가족 외),3.0,0.0,0.0
2,a001673,4,2,2,5,2,7,자녀 동반 여행,3.0,1.0,0.0
3,a017690,2,3,3,2,4,5,3인 이상 여행(가족 외),3.0,0.0,0.0
4,c006666,3,2,6,5,5,5,나홀로 여행,1.0,0.0,0.0
5,a007192,4,2,4,4,5,4,나홀로 여행,1.0,0.0,0.0
6,a006685,1,7,1,1,5,2,2인 가족 여행,2.0,0.0,0.0
7,a014274,2,1,3,3,2,6,나홀로 여행,1.0,0.0,0.0
8,a002302,3,5,2,5,6,6,나홀로 여행,1.0,0.0,0.0
9,a004118,4,1,6,4,7,4,나홀로 여행,1.0,0.0,0.0
10,a001158,1,2,2,2,3,2,나홀로 여행,1.0,0.0,0.0
11,a014377,1,3,4,3,6,4,나홀로 여행,1.0,0.0,0.0
12,a003073,3,6,6,6,6,2,자녀 동반 여행,3.0,1.0,0.0
13,a005594,2,2,6,6,6,2,자녀 동반 여행,3.0,1.0,0.0
14,a007179,1,3,1,3,2,3,3인 이상 여행(가족 외),3.0,0.0,0.0
15,a006286,2,2,1,4,1,7,자녀 동반 여행,3.0,1.0,0.0
16,a002832,1,4,6,2,1,7,2인 여행(가족 외),2.0,0.0,0.0
17,a001702,2,2,4,2,3,7,부모 동반 여행,3.0,0.0,0.0
18,a005419,3,2,6,6,6,4,자녀 동반 여행,3.0,1.0,0.0
19,a008026,2,2,4,4,5,4,2인 가족 여행,2.0,0.0,0.0
20,a003335,4,2,4,5,2,4,2인 여행(가족 외),2.0,0.0,0.0
21,a018046,4,6,4,5,2,2,나홀로 여행,1.0,0.0,0.0
22,a007399,6,1,4,6,6,6,2인 여행(가족 외),2.0,0.0,0.0
23,a007033,7,1,3,1,7,7,나홀로 여행,1.0,0.0,0.0
24,a007579,1,1,4,4,1,2,2인 가족 여행,2.0,0.0,0.0
25,a008021,2,5,3,2,2,7,3인 이상 여행(가족 외),3.0,0.0,0.0
26,a002222,1,3,4,6,2,6,3인 이상 여행(가족 외),3.0,0.0,0.0
27,a005485,2,2,4,3,6,2,2인 여행(가족 외),2.0,0.0,0.0
28,a007957,2,2,2,3,6,5,나홀로 여행,1.0,0.0,0.0
29,a001548,2,3,3,4,2,1,나홀로 여행,1.0,0.0,0.0
30,a011069,3,4,2,5,2,4,나홀로 여행,1.0,0.0,0.0
31,a007329,6,2,3,2,6,2,나홀로 여행,1.0,0.0,0.0
32,a012452,1,6,6,2,6,2,2인 여행(가족 외),2.0,0.0,0.0
33,c002035,2,2,6,2,2,7,나홀로 여행,1.0,0.0,0.0
34,a018147,1,1,3,1,4,6,자녀 동반 여행,3.0,1.0,0.0
35,a004399,2,1,6,6,7,7,자녀 동반 여행,3.0,1.0,0.0
36,a001734,2,2,5,2,6,4,2인 여행(가족 외),2.0,0.0,0.0
37,a006816,1,1,5,4,2,6,2인 여행(가족 외),2.0,0.0,0.0
38,a015175,4,6,4,5,4,6,나홀로 여행,1.0,0.0,0.0
39,a003712,1,1,4,1,2,4,자녀 동반 여행,3.0,1.0,0.0
40,a006014,2,1,4,2,6,7,3대 동반 여행(친척 포함),3.0,0.0,0.0
41,a000550,4,6,4,6,3,2,2인 가족 여행,2.0,0.0,0.0
42,a002197,7,1,1,7,1,1,나홀로 여행,1.0,0.0,0.0
43,a018130,3,3,4,3,4,4,2인 여행(가족 외),2.0,0.0,0.0
44,a003028,4,3,3,4,4,4,자녀 동반 여행,3.0,1.0,0.0
45,a007244,4,1,1,1,7,1,나홀로 여행,1.0,0.0,0.0
46,a002019,4,4,3,4,3,5,나홀로 여행,1.0,0.0,0.0
47,a001859,4,2,4,3,5,4,자녀 동반 여행,3.0,1.0,0.0
48,a018087,1,2,3,3,3,4,2인 여행(가족 외),2.0,0.0,0.0
49,a004565,4,2,2,4,7,2,나홀로 여행,1.0,0.0,0.0
50,a002077,4,4,4,4,4,4,2인 여행(가족 외),2.0,0.0,0.0
51,a017910,1,1,1,1,7,4,3인 이상 여행(가족 외),3.0,0.0,0.0
52,a001817,1,1,4,2,3,6,2인 여행(가족 외),2.0,0.0,0.0
53,a006822,3,1,6,2,7,6,나홀로 여행,1.0,0.0,0.0
54,a003223,1,1,1,5,3,1,나홀로 여행,1.0,0.0,0.0
55,a001383,2,3,3,3,4,7,나홀로 여행,1.0,0.0,0.0
56,a007699,6,4,2,3,7,1,나홀로 여행,1.0,0.0,0.0
57,a017742,2,2,5,6,2,7,나홀로 여행,1.0,0.0,0.0
58,a015340,4,6,6,6,2,6,자녀 동반 여행,3.0,1.0,0.0
59,a006017,2,2,3,2,6,5,2인 가족 여행,2.0,0.0,0.0
60,a006061,2,2,6,3,2,6,나홀로 여행,1.0,0.0,0.0
61,a002927,1,4,1,3,6,3,자녀 동반 여행,3.0,1.0,0.0
62,a004208,2,2,6,6,2,6,2인 여행(가족 외),2.0,0.0,0.0
63,a003110,7,1,7,1,7,1,3인 이상 여행(가족 외),3.0,0.0,0.0
64,a001971,5,1,1,1,7,7,나홀로 여행,1.0,0.0,0.0
65,a014786,2,2,5,4,3,6,자녀 동반 여행,3.0,1.0,0.0
66,b005303,3,2,6,2,6,7,2인 여행(가족 외),2.0,0.0,0.0
67,a005012,6,2,6,2,6,4,나홀로 여행,1.0,0.0,0.0
68,a002290,3,2,6,6,2,3,2인 가족 여행,2.0,0.0,0.0
69,a001448,3,2,3,4,5,7,2인 여행(가족 외),2.0,0.0,0.0
70,a002024,4,1,1,4,3,2,2인 여행(가족 외),2.0,0.0,0.0
71,a005173,2,6,2,2,6,6,2인 여행(가족 외),2.0,0.0,0.0
72,a001976,6,6,3,4,6,6,나홀로 여행,1.0,0.0,0.0
73,a011479,6,4,1,6,1,1,나홀로 여행,1.0,0.0,0.0
74,a007595,5,3,1,4,3,3,2인 여행(가족 외),2.0,0.0,0.0
75,a000014,2,6,2,6,2,7,2인 여행(가족 외),2.0,0.0,0.0
76,a018116,2,2,3,3,3,6,2인 가족 여행,2.0,0.0,0.0
77,a003176,3,2,6,3,5,3,3인 이상 여행(가족 외),3.0,0.0,0.0
78,a002237,1,7,1,1,7,1,나홀로 여행,1.0,0.0,0.0
79,a015750,4,1,1,4,4,2,나홀로 여행,1.0,0.0,0.0
80,a005736,1,7,1,7,1,1,3대 동반 여행(친척 포함),3.0,0.0,0.0
81,a001333,1,1,3,1,7,4,3인 이상 여행(가족 외),3.0,0.0,0.0
82,a004008,2,3,1,3,2,5,나홀로 여행,1.0,0.0,0.0
83,a001915,2,3,2,2,4,4,부모 동반 여행,3.0,0.0,0.0
84,a000510,4,2,5,3,5,5,2인 여행(가족 외),2.0,0.0,0.0
85,a001563,2,6,2,3,2,6,2인 가족 여행,2.0,0.0,0.0
86,a006668,4,3,7,6,2,6,자녀 동반 여행,3.0,1.0,0.0
87,a006197,2,2,2,6,2,5,나홀로 여행,1.0,0.0,0.0
88,a000080,5,4,5,4,6,4,2인 여행(가족 외),2.0,0.0,0.0
89,a018176,2,1,2,6,2,6,2인 여행(가족 외),2.0,0.0,0.0
90,a010455,2,2,4,2,3,4,자녀 동반 여행,3.0,1.0,0.0
91,a003411,4,4,2,5,6,4,2인 여행(가족 외),2.0,0.0,0.0
92,a008084,4,2,4,4,4,3,3인 이상 여행(가족 외),3.0,0.0,0.0
93,a017831,1,1,6,3,3,5,2인 여행(가족 외),2.0,0.0,0.0
94,a003137,5,2,4,3,3,5,3인 이상 여행(가족 외),3.0,0.0,0.0
95,a006565,1,4,2,2,2,3,자녀 동반 여행,3.0,1.0,0.0
96,a000413,4,1,4,2,3,7,나홀로 여행,1.0,0.0,0.0
97,a007230,2,5,3,2,7,5,2인 여행(가족 외),2.0,0.0,0.0
98,a008359,2,2,1,7,7,5,2인 가족 여행,2.0,0.0,0.0
99,a001104,2,1,3,4,7,1,나홀로 여행,1.0,0.0,0.0
100,a014948,2,1,7,6,3,3,나홀로 여행,1.0,0.0,0.0
101,a002974,7,3,5,7,7,4,나홀로 여행,1.0,0.0,0.0
102,a000385,4,1,1,1,1,7,2인 여행(가족 외),2.0,0.0,0.0
103,a009448,2,6,4,2,5,4,2인 여행(가족 외),2.0,0.0,0.0
104,a007608,6,2,6,4,1,3,자녀 동반 여행,3.0,1.0,0.0
105,a003757,4,2,5,5,4,5,3대 동반 여행(친척 포함),3.0,0.0,0.0
106,a009680,2,1,6,6,3,6,3인 이상 여행(가족 외),3.0,0.0,0.0
107,a000632,7,1,2,6,6,2,나홀로 여행,1.0,0.0,0.0
108,a000877,3,5,4,5,3,7,나홀로 여행,1.0,0.0,0.0
109,a006141,5,6,6,7,2,6,3인 이상 여행(가족 외),3.0,0.0,0.0
110,a011569,5,2,1,2,1,3,나홀로 여행,1.0,0.0,0.0
111,a014171,1,1,1,7,7,7,자녀 동반 여행,3.0,1.0,0.0
112,a017605,3,5,4,3,2,6,자녀 동반 여행,3.0,1.0,0.0
113,a000342,2,1,2,2,6,2,2인 여행(가족 외),2.0,0.0,0.0
114,a001143,1,1,1,3,2,3,나홀로 여행,1.0,0.0,0.0
115,a000293,4,3,4,5,6,6,3인 이상 여행(가족 외),3.0,0.0,0.0
116,d012476,4,4,4,4,4,4,나홀로 여행,1.0,0.0,0.0
117,a005458,1,2,3,3,2,6,2인 가족 여행,2.0,0.0,0.0
118,a002458,2,3,2,6,2,6,3대 동반 여행(친척 포함),3.0,0.0,0.0
119,a017855,3,4,4,4,4,4,나홀로 여행,1.0,0.0,0.0
120,a008406,3,1,5,3,1,3,3인 이상 여행(가족 외),3.0,0.0,0.0
121,a006166,3,4,3,2,4,3,3인 이상 여행(가족 외),3.0,0.0,0.0
122,a002270,2,1,3,3,6,4,2인 여행(가족 외),2.0,0.0,0.0
123,a000485,4,4,2,4,3,3,나홀로 여행,1.0,0.0,0.0
124,a005610,6,6,2,6,2,2,2인 여행(가족 외),2.0,0.0,0.0
125,a002737,3,1,6,5,2,4,2인 가족 여행,2.0,0.0,0.0
126,a008194,2,2,3,5,6,7,2인 여행(가족 외),2.0,0.0,0.0
127,a001305,1,3,7,4,7,6,2인 가족 여행,2.0,0.0,0.0
128,a009555,2,2,1,1,2,4,나홀로 여행,1.0,0.0,0.0
129,a012251,4,3,4,3,6,3,2인 여행(가족 외),2.0,0.0,0.0
130,a012216,7,7,4,7,6,7,2인 가족 여행,2.0,0.0,0.0
131,a000207,4,5,2,3,2,6,자녀 동반 여행,3.0,1.0,0.0
132,a009815,6,1,6,2,6,6,나홀로 여행,1.0,0.0,0.0
133,a004957,4,2,4,6,4,4,2인 여행(가족 외),2.0,0.0,0.0
134,b004527,4,2,6,5,2,6,3인 이상 여행(가족 외),3.0,0.0,0.0
135,a017546,2,1,7,6,3,4,나홀로 여행,1.0,0.0,0.0
136,a004335,4,1,1,4,1,4,자녀 동반 여행,3.0,1.0,0.0
137,a002587,4,2,6,6,2,4,나홀로 여행,1.0,0.0,0.0
138,a007252,6,4,4,6,2,5,3인 이상 여행(가족 외),3.0,0.0,0.0
139,a008050,7,7,1,1,1,7,나홀로 여행,1.0,0.0,0.0
140,a010380,4,4,4,4,4,4,2인 여행(가족 외),2.0,0.0,0.0
141,a000110,4,3,2,5,2,5,나홀로 여행,1.0,0.0,0.0
142,a010181,6,6,6,6,6,6,2인 여행(가족 외),2.0,0.0,0.0
143,a001219,3,4,2,3,3,4,자녀 동반 여행,3.0,1.0,0.0
144,a000635,4,4,4,5,5,7,나홀로 여행,1.0,0.0,0.0
145,a015346,1,1,7,1,4,5,2인 가족 여행,2.0,0.0,0.0
146,a010009,4,5,3,5,5,5,나홀로 여행,1.0,0.0,0.0
147,a002280,2,1,4,2,3,5,2인 여행(가족 외),2.0,0.0,0.0
148,a001605,3,4,3,4,3,4,나홀로 여행,1.0,0.0,0.0
149,a005347,1,2,4,6,3,5,2인 여행(가족 외),2.0,0.0,0.0
150,a000117,3,2,1,2,6,6,나홀로 여행,1.0,0.0,0.0
151,a001983,2,2,5,4,3,7,나홀로 여행,1.0,0.0,0.0
152,a000302,4,4,4,4,4,4,자녀 동반 여행,3.0,1.0,0.0
153,a004736,3,2,5,4,3,5,자녀 동반 여행,3.0,1.0,0.0
154,a007024,2,3,2,4,2,4,3인 이상 여행(가족 외),3.0,0.0,0.0
155,a017517,3,2,4,2,7,4,나홀로 여행,1.0,0.0,0.0
156,a002096,2,2,5,4,3,3,2인 여행(가족 외),2.0,0.0,0.0
157,a007380,1,4,1,1,1,5,2인 여행(가족 외),2.0,0.0,0.0
158,a005353,4,1,1,1,7,1,2인 여행(가족 외),2.0,0.0,0.0
