,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
0,a_a014262,A03,a014262,자가용,10
1,a_a006728,A03,a006728,자가용,10
2,a_a015745,A02,a015745,대중교통 등,10
3,a_a010544,A03,a010544,자가용,11
4,a_a012058,A03,a012058,대중교통 등,11
5,a_a001826,A03,a001826,자가용,09
6,a_a002687,A03,a002687,자가용,10
7,a_a001405,A03,a001405,대중교통 등,08
8,a_a008173,A01,a008173,대중교통 등,10
9,a_a005503,A01,a005503,대중교통 등,10
10,a_a014026,A03,a014026,대중교통 등,10
11,a_a006743,A01,a006743,자가용,10
12,a_a001240,A01,a001240,자가용,08
13,a_a018188,A01,a018188,,11
14,a_a001129,A01,a001129,대중교통 등,08
15,a_a007389,A03,a007389,,10
16,a_a000024,A03,a000024,대중교통 등,08
17,a_a017969,A03,a017969,,11
18,a_a012188,A03,a012188,대중교통 등,11
19,a_a006668,A03,a006668,자가용,10
20,a_a006714,A03,a006714,대중교통 등,10
21,a_a002989,A03,a002989,자가용,09
22,a_a018209,A03,a018209,,11
23,a_a006101,A01,a006101,대중교통 등,10
24,a_a008209,A01,a008209,자가용,10
25,a_a005593,A01,a005593,대중교통 등,10
26,a_a001157,A03,a001157,대중교통 등,09
27,a_a000637,A01,a000637,자가용,08
28,a_a005806,A01,a005806,대중교통 등,10
29,a_a000277,A01,a000277,대중교통 등,08
30,a_a000428,A01,a000428,자가용,09
31,a_a018074,A01,a018074,,11
32,a_a004431,A01,a004431,대중교통 등,09
33,a_a003282,A03,a003282,자가용,10
34,a_a000307,A03,a000307,자가용,08
35,a_a000980,A03,a000980,자가용,08
36,a_a010475,A02,a010475,대중교통 등,10
37,a_a008206,A01,a008206,대중교통 등,10
38,a_a008349,A01,a008349,대중교통 등,10
39,a_a005195,A03,a005195,,10
40,a_a005824,A03,a005824,자가용,10
41,a_a013871,A01,a013871,대중교통 등,10
42,a_a000286,A03,a000286,자가용,08
43,a_a005562,A03,a005562,대중교통 등,10
44,a_a006278,A01,a006278,,10
45,a_a018134,A01,a018134,,11
46,a_a000618,A01,a000618,대중교통 등,09
47,a_a004497,A03,a004497,자가용,10
48,a_a005182,A01,a005182,,10
49,a_a008024,A03,a008024,,10
50,a_a003352,A03,a003352,대중교통 등,10
51,a_a003024,A01,a003024,대중교통 등,10
52,a_a006065,A02,a006065,대중교통 등,10
53,a_a011533,A02,a011533,대중교통 등,10
54,a_a002251,A03,a002251,대중교통 등,09
55,a_a006371,A02,a006371,대중교통 등,10
56,a_a001954,A03,a001954,자가용,09
57,a_a004399,A03,a004399,자가용,10
58,a_a003305,A01,a003305,대중교통 등,10
59,a_a004307,A03,a004307,,10
60,a_a017685,A01,a017685,,11
61,a_a006833,A03,a006833,대중교통 등,10
62,a_a006260,A03,a006260,자가용,10
63,a_a004223,A03,a004223,대중교통 등,10
64,a_a003779,A03,a003779,대중교통 등,09
65,a_a001955,A03,a001955,자가용,09
66,a_a002761,A03,a002761,자가용,09
67,a_a005650,A03,a005650,,10
68,a_a003697,A03,a003697,자가용,10
69,a_a001244,A02,a001244,자가용,08
70,a_a002245,A02,a002245,대중교통 등,09
71,a_a007884,A03,a007884,자가용,10
72,a_a000877,A01,a000877,대중교통 등,08
73,a_a002159,A01,a002159,자가용,09
74,a_a001226,A02,a001226,대중교통 등,09
75,a_a001595,A03,a001595,자가용,09
76,a_a002056,A03,a002056,자가용,09
77,a_a005324,A01,a005324,대중교통 등,10
78,a_a006674,A03,a006674,자가용,10
79,a_a002737,A03,a002737,자가용,10
80,a_a002979,A01,a002979,대중교통 등,10
81,a_a003599,A03,a003599,자가용,09
82,a_a006656,A03,a006656,,10
83,a_a018000,A01,a018000,,11
84,a_a006976,A03,a006976,자가용,10
85,a_a004818,A03,a004818,자가용,10
86,a_a010193,A02,a010193,대중교통 등,10
87,a_a000822,A03,a000822,자가용,08
88,a_a011614,A01,a011614,대중교통 등,10
89,a_a002410,A02,a002410,대중교통 등,09
90,a_a009817,A01,a009817,대중교통 등,10
91,a_a006410,A03,a006410,대중교통 등,10
92,a_a013672,A03,a013672,자가용,10
93,a_a010301,A01,a010301,자가용,10
94,a_a007878,A03,a007878,자가용,10
95,a_a000714,A03,a000714,자가용,08
96,a_a013867,A03,a013867,대중교통 등,10
97,a_a001264,A01,a001264,자가용,08
98,a_a004178,A03,a004178,자가용,10
99,a_a003426,A03,a003426,자가용,10
100,a_a006562,A03,a006562,자가용,10
101,a_a003901,A03,a003901,자가용,10
102,a_a000780,A03,a000780,자가용,08
103,a_a007436,A02,a007436,대중교통 등,10
104,a_a000342,A03,a000342,자가용,08
105,a_a005139,A01,a005139,,10
106,a_a005193,A03,a005193,,10
107,a_a006750,A03,a006750,자가용,10
108,a_a014948,A01,a014948,대중교통 등,10
109,a_a000056,A03,a000056,대중교통 등,08
110,c_c005920,A03,c005920,대중교통 등,10
111,a_a015245,A03,a015245,자가용,10
112,a_a007424,A03,a007424,자가용,10
113,a_a001623,A01,a001623,자가용,09
114,a_a002426,A03,a002426,자가용,09
115,a_a000924,A01,a000924,자가용,09
116,a_a006636,A01,a006636,대중교통 등,10
117,a_a003715,A03,a003715,대중교통 등,10
118,a_a004767,A03,a004767,자가용,10
119,a_a003666,A01,a003666,대중교통 등,10
120,a_a003517,A03,a003517,자가용,10
121,b_b006889,A01,b006889,대중교통 등,10
122,a_a010333,A03,a010333,자가용,10
123,a_a007533,A01,a007533,대중교통 등,10
124,a_a007370,A03,a007370,,10
125,a_a018006,A01,a018006,,11
126,d_d007564,A03,d007564,대중교통 등,10
