,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY
0,b015583,1,1,7,1,1,7,2인 여행(가족 외)
1,a001105,6,2,4,6,6,5,3인 이상 여행(가족 외)
2,a001673,4,2,2,5,2,7,자녀 동반 여행
3,a017690,2,3,3,2,4,5,3인 이상 여행(가족 외)
4,c006666,3,2,6,5,5,5,나홀로 여행
5,a007192,4,2,4,4,5,4,나홀로 여행
6,a006685,1,7,1,1,5,2,2인 가족 여행
7,a014274,2,1,3,3,2,6,나홀로 여행
8,a002302,3,5,2,5,6,6,나홀로 여행
9,a004118,4,1,6,4,7,4,나홀로 여행
10,a001158,1,2,2,2,3,2,나홀로 여행
11,a014377,1,3,4,3,6,4,나홀로 여행
12,a003073,3,6,6,6,6,2,자녀 동반 여행
13,a005594,2,2,6,6,6,2,자녀 동반 여행
14,a007179,1,3,1,3,2,3,3인 이상 여행(가족 외)
15,a006286,2,2,1,4,1,7,자녀 동반 여행
16,a002832,1,4,6,2,1,7,2인 여행(가족 외)
17,a001702,2,2,4,2,3,7,부모 동반 여행
18,a005419,3,2,6,6,6,4,자녀 동반 여행
19,a008026,2,2,4,4,5,4,2인 가족 여행
20,a003335,4,2,4,5,2,4,2인 여행(가족 외)
21,a018046,4,6,4,5,2,2,나홀로 여행
22,a007399,6,1,4,6,6,6,2인 여행(가족 외)
23,a007033,7,1,3,1,7,7,나홀로 여행
24,a007579,1,1,4,4,1,2,2인 가족 여행
25,a008021,2,5,3,2,2,7,3인 이상 여행(가족 외)
26,a002222,1,3,4,6,2,6,3인 이상 여행(가족 외)
27,a005485,2,2,4,3,6,2,2인 여행(가족 외)
28,a007957,2,2,2,3,6,5,나홀로 여행
29,a001548,2,3,3,4,2,1,나홀로 여행
30,a011069,3,4,2,5,2,4,나홀로 여행
31,a007329,6,2,3,2,6,2,나홀로 여행
32,a012452,1,6,6,2,6,2,2인 여행(가족 외)
33,c002035,2,2,6,2,2,7,나홀로 여행
34,a018147,1,1,3,1,4,6,자녀 동반 여행
35,a004399,2,1,6,6,7,7,자녀 동반 여행
36,a001734,2,2,5,2,6,4,2인 여행(가족 외)
37,a006816,1,1,5,4,2,6,2인 여행(가족 외)
38,a015175,4,6,4,5,4,6,나홀로 여행
39,a003712,1,1,4,1,2,4,자녀 동반 여행
40,a006014,2,1,4,2,6,7,3대 동반 여행(친척 포함)
41,a000550,4,6,4,6,3,2,2인 가족 여행
42,a002197,7,1,1,7,1,1,나홀로 여행
43,a018130,3,3,4,3,4,4,2인 여행(가족 외)
44,a003028,4,3,3,4,4,4,자녀 동반 여행
45,a007244,4,1,1,1,7,1,나홀로 여행
46,a002019,4,4,3,4,3,5,나홀로 여행
47,a001859,4,2,4,3,5,4,자녀 동반 여행
48,a018087,1,2,3,3,3,4,2인 여행(가족 외)
49,a004565,4,2,2,4,7,2,나홀로 여행
50,a002077,4,4,4,4,4,4,2인 여행(가족 외)
51,a017910,1,1,1,1,7,4,3인 이상 여행(가족 외)
52,a001817,1,1,4,2,3,6,2인 여행(가족 외)
53,a006822,3,1,6,2,7,6,나홀로 여행
54,a003223,1,1,1,5,3,1,나홀로 여행
55,a001383,2,3,3,3,4,7,나홀로 여행
56,a007699,6,4,2,3,7,1,나홀로 여행
57,a017742,2,2,5,6,2,7,나홀로 여행
58,a015340,4,6,6,6,2,6,자녀 동반 여행
59,a006017,2,2,3,2,6,5,2인 가족 여행
60,a006061,2,2,6,3,2,6,나홀로 여행
61,a002927,1,4,1,3,6,3,자녀 동반 여행
62,a004208,2,2,6,6,2,6,2인 여행(가족 외)
63,a003110,7,1,7,1,7,1,3인 이상 여행(가족 외)
64,a001971,5,1,1,1,7,7,나홀로 여행
65,a014786,2,2,5,4,3,6,자녀 동반 여행
66,b005303,3,2,6,2,6,7,2인 여행(가족 외)
67,a005012,6,2,6,2,6,4,나홀로 여행
