,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID
0,2210300006,a_a015688,프로방스마을,경기 파주시 탄현면 성동리 82-1,60.0,7,1.0,4.0,4.0,4.0,10,3438
3,2208200003,a_a000491,더현대서울,서울 영등포구 여의도동 22,180.0,4,0.0,5.0,5.0,5.0,08,823
4,2208110007,a_a000172,강릉중앙시장,강원 강릉시 성남동 50,30.0,4,0.0,4.0,4.0,4.0,08,185
5,2208270003,a_a000554,청계천,서울 종로구 서린동 148,60.0,7,0.0,4.0,4.0,4.0,08,3124
12,2210140002,a_a005195,삼송역 3호선,경기 고양시 덕양구 삼송동 18-5,0.0,7,0.0,3.0,2.0,3.0,10,1499
17,2210080005,a_a003234,서울 그로서리 클럽,,30.0,3,0.0,4.0,3.0,3.0,10,1563
18,2210040004,a_a004298,제부도 워터워크,경기 화성시 서신면 송교리 377-46,0.0,2,0.0,2.0,3.0,3.0,10,2990
19,2211120002,a_a018121,의정부제일시장,경기 의정부시 의정부동 160,60.0,4,0.0,5.0,5.0,5.0,11,2670
24,2210090001,a_a003810,더현대서울,서울 영등포구 여의도동 22,90.0,3,0.0,5.0,5.0,5.0,10,823
25,2209030004,a_a000537,경복궁,서울 종로구 세종로 1-91,30.0,2,1.0,3.0,3.0,3.0,09,258
28,2209180002,a_a002400,갤러리아백화점 타임월드점,대전 서구 둔산동 1038,30.0,4,1.0,3.0,3.0,3.0,09,213
30,2210020004,a_a003071,자라섬재즈페스티벌,경기 가평군 가평읍 달전리 27,390.0,8,1.0,4.0,3.0,3.0,10,2906
36,2210080004,a_a005705,아모레퍼시픽미술관,서울 용산구 한강로2가 424,60.0,3,0.0,4.0,3.0,4.0,10,2092
38,2209030007,a_a000658,세운전자상가,서울 종로구 장사동 116-4,0.0,2,0.0,4.0,2.0,3.0,09,1746
41,2210030002,a_a003617,고양꽃전시관,경기 고양시 일산동구 장항동 906,60.0,3,0.0,1.0,4.0,4.0,10,313
43,2209240002,a_a001919,이마트 남양주점,경기 남양주시 호평동 637,60.0,4,0.0,4.0,4.0,4.0,09,2689
44,2211130005,a_a017794,아차산 4보루,경기 구리시 아천동 52-2,30.0,1,0.0,5.0,5.0,5.0,11,2107
47,2209120006,a_a001965,송도센트럴파크,인천 연수구 송도동 24-5,30.0,7,0.0,3.0,2.0,2.0,09,1822
54,2210010005,a_a003557,남도꽃정원,경기 가평군 가평읍 달전리 산 5-5,30.0,1,0.0,4.0,4.0,3.0,10,615
60,2210080012,a_a004696,서울숲,서울 성동구 성수동1가 678-1,30.0,1,1.0,5.0,5.0,5.0,10,1610
64,2209180003,a_a002054,메가박스 의정부민락,경기 의정부시 민락동 813-4,180.0,3,0.0,5.0,5.0,5.0,09,1136
