user_id,total_visited_areas
a000012,12
a000014,2
a000016,3
a000018,3
a000019,2
a000021,3
a000028,1
a000029,2
a000030,3
a000034,11
a000035,3
a000051,3
a000056,6
a000058,6
a000065,2
a000074,9
a000080,6
a000081,14
a000082,5
a000084,5
a000086,1
a000087,3
a000100,2
a000104,4
a000108,5
a000112,4
a000116,7
a000122,4
a000130,3
a000134,3
a000136,8
a000142,3
a000145,1
a000147,6
a000149,6
a000150,1
a000152,5
a000163,1
a000164,2
a000165,1
a000166,3
a000172,7
a000177,5
a000179,5
a000180,1
a000181,5
a000182,6
a000184,2
a000187,2
a000189,1
a000198,7
a000201,6
a000203,3
a000207,2
a000212,1
a000213,2
a000215,5
a000218,1
a000219,3
a000221,3
a000222,4
a000223,2
a000231,1
a000237,5
a000265,5
a000266,2
a000276,3
a000277,4
a000286,4
a000287,4
a000293,4
a000302,1
a000306,3
a000307,3
a000314,12
a000322,1
a000327,4
a000338,2
a000339,5
a000341,3
a000342,1
a000351,2
a000357,6
a000358,3
a000369,1
a000373,3
a000376,1
a000389,5
a000393,1
a000396,14
a000399,2
a000407,7
a000412,3
a000413,8
a000415,2
a000417,3
a000425,1
a000427,4
a000428,9
a000430,1
a000444,3
a000445,11
a000448,4
a000461,6
a000468,2
a000483,3
a000485,11
a000491,3
a000493,4
a000497,4
a000502,5
a000503,5
a000506,7
a000509,3
a000510,5
a000513,4
a000516,1
a000535,1
a000537,5
a000538,5
a000545,2
a000550,9
a000552,6
a000554,5
a000556,3
a000557,6
a000562,2
a000563,2
a000565,3
a000567,2
a000568,2
a000573,3
a000574,4
a000588,3
a000593,4
a000603,2
a000605,3
a000613,3
a000618,4
a000623,4
a000633,2
a000635,3
a000637,2
a000647,1
a000653,3
a000655,5
a000657,2
a000658,4
a000662,2
a000664,3
a000667,1
a000669,5
a000670,2
a000673,3
a000675,5
a000678,4
a000682,2
a000700,1
a000706,1
a000712,3
a000715,3
a000736,2
a000738,8
a000740,3
a000744,2
a000746,6
a000751,8
a000756,3
a000766,1
a000771,4
a000784,2
a000787,4
a000788,5
a000789,1
a000793,3
a000795,2
a000796,2
a000797,2
a000801,2
a000817,2
a000820,1
a000824,2
a000828,3
a000851,6
a000852,5
a000853,1
a000862,1
a000864,3
a000877,6
a000884,1
a000885,2
a000891,1
a000896,2
a000898,4
a000902,1
a000906,5
a000910,2
a000912,2
a000915,3
a000924,2
a000928,2
a000930,3
a000933,2
a000934,2
a000935,3
a000939,2
a000940,8
a000949,8
a000951,4
a000954,1
a000960,3
a000962,5
a000973,9
a000975,5
a000976,1
a000978,2
a000980,2
a000982,5
a000984,16
a000989,2
a000990,3
a000997,3
a001026,2
a001034,1
a001037,3
a001039,2
a001052,1
a001056,4
a001057,1
a001079,4
a001080,4
a001081,4
a001084,4
a001090,6
a001103,6
a001105,1
a001109,12
a001127,6
a001129,1
a001130,3
a001132,6
a001138,3
a001152,1
a001156,3
a001157,5
a001158,4
a001160,6
a001164,1
a001167,2
a001168,2
a001179,5
a001187,3
a001199,3
a001206,1
a001208,7
a001210,6
a001213,3
a001226,8
a001233,3
a001244,4
a001256,2
a001258,6
a001261,5
a001263,1
a001264,4
a001268,1
a001271,4
a001278,4
a001281,2
a001283,2
a001295,5
a001296,2
a001297,2
a001305,3
a001306,2
a001308,6
a001310,1
a001311,3
a001316,15
a001321,3
a001323,2
a001333,4
a001337,5
a001351,3
a001352,2
a001353,3
a001354,5
a001356,3
a001366,5
a001375,7
a001377,3
a001380,6
a001382,1
a001383,6
a001384,1
a001390,2
a001392,2
a001393,7
a001405,3
a001406,3
a001415,1
a001418,1
a001425,1
a001431,4
a001434,3
a001440,3
a001447,3
a001448,5
a001450,1
a001453,4
a001464,3
a001471,1
a001473,1
a001474,3
a001495,5
a001498,6
a001502,3
a001504,2
a001505,1
a001509,2
a001514,2
a001515,3
a001516,2
a001525,4
a001532,6
a001534,3
a001540,1
a001541,4
a001543,1
a001546,3
a001548,2
a001549,4
a001573,5
a001575,4
a001584,7
a001591,1
a001595,3
a001600,4
a001603,2
a001605,5
a001612,2
a001615,2
a001617,6
a001624,4
a001625,2
a001627,2
a001635,4
a001638,4
a001648,3
a001649,4
a001657,2
a001661,4
a001671,4
a001674,5
a001676,3
a001694,2
a001701,2
a001702,4
a001704,2
a001709,2
a001715,4
a001716,14
a001728,4
a001729,4
a001734,5
a001736,2
a001741,3
a001747,6
a001749,3
a001750,3
a001753,2
a001757,1
a001764,2
a001774,6
a001778,2
a001785,1
a001791,3
a001794,2
a001798,5
a001800,3
a001801,3
a001805,4
a001817,2
a001823,3
a001826,1
a001827,1
a001828,3
a001835,4
a001840,6
a001851,1
a001856,2
a001861,2
a001866,2
a001867,2
a001870,5
a001871,1
a001875,2
a001881,4
a001885,4
a001892,2
a001894,2
a001895,3
a001896,3
a001898,3
a001899,3
a001900,3
a001902,5
a001904,2
a001910,4
a001917,1
a001922,4
a001923,8
a001926,7
a001927,4
a001930,2
a001932,5
a001934,1
a001937,2
a001940,1
a001944,2
a001945,2
a001949,2
a001955,2
a001957,2
a001960,2
a001964,7
a001971,2
a001976,3
a001978,4
a001981,8
a001982,7
a001983,4
a001989,4
a001992,3
a001997,4
a001998,3
a001999,5
a002001,6
a002002,1
a002003,4
a002004,2
a002008,2
a002010,1
a002011,2
a002018,8
a002019,3
a002024,1
a002025,1
a002026,3
a002027,1
a002032,1
a002033,4
a002034,1
a002037,4
a002040,1
a002042,3
