,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
0,a_a014262,A03,a014262,1,10
1,a_a006728,A03,a006728,1,10
2,a_a015745,A02,a015745,2,10
3,a_a010544,A03,a010544,1,11
4,a_a012058,A03,a012058,2,11
5,a_a001826,A03,a001826,1,09
6,a_a002687,A03,a002687,1,10
7,a_a001405,A03,a001405,2,08
8,a_a008173,A01,a008173,2,10
9,a_a005503,A01,a005503,2,10
10,a_a014026,A03,a014026,2,10
11,a_a006743,A01,a006743,1,10
12,a_a001240,A01,a001240,1,08
13,a_a018188,A01,a018188,0,11
14,a_a001129,A01,a001129,2,08
15,a_a007389,A03,a007389,0,10
16,a_a000024,A03,a000024,2,08
17,a_a017969,A03,a017969,0,11
18,a_a012188,A03,a012188,2,11
19,a_a006668,A03,a006668,1,10
20,a_a006714,A03,a006714,2,10
21,a_a002989,A03,a002989,1,09
22,a_a018209,A03,a018209,0,11
23,a_a006101,A01,a006101,2,10
24,a_a008209,A01,a008209,1,10
25,a_a005593,A01,a005593,2,10
26,a_a001157,A03,a001157,2,09
27,a_a000637,A01,a000637,1,08
28,a_a005806,A01,a005806,2,10
29,a_a000277,A01,a000277,2,08
30,a_a000428,A01,a000428,1,09
31,a_a018074,A01,a018074,0,11
32,a_a004431,A01,a004431,2,09
33,a_a003282,A03,a003282,1,10
34,a_a000307,A03,a000307,1,08
35,a_a000980,A03,a000980,1,08
36,a_a010475,A02,a010475,2,10
37,a_a008206,A01,a008206,2,10
38,a_a008349,A01,a008349,2,10
39,a_a005195,A03,a005195,0,10
40,a_a005824,A03,a005824,1,10
41,a_a013871,A01,a013871,2,10
42,a_a000286,A03,a000286,1,08
43,a_a005562,A03,a005562,2,10
44,a_a006278,A01,a006278,0,10
45,a_a018134,A01,a018134,0,11
46,a_a000618,A01,a000618,2,09
47,a_a004497,A03,a004497,1,10
48,a_a005182,A01,a005182,0,10
49,a_a008024,A03,a008024,0,10
50,a_a003352,A03,a003352,2,10
51,a_a003024,A01,a003024,2,10
52,a_a006065,A02,a006065,2,10
53,a_a011533,A02,a011533,2,10
54,a_a002251,A03,a002251,2,09
55,a_a006371,A02,a006371,2,10
56,a_a001954,A03,a001954,1,09
57,a_a004399,A03,a004399,1,10
58,a_a003305,A01,a003305,2,10
59,a_a004307,A03,a004307,0,10
60,a_a017685,A01,a017685,0,11
61,a_a006833,A03,a006833,2,10
62,a_a006260,A03,a006260,1,10
63,a_a004223,A03,a004223,2,10
64,a_a003779,A03,a003779,2,09
65,a_a001955,A03,a001955,1,09
66,a_a002761,A03,a002761,1,09
67,a_a005650,A03,a005650,0,10
68,a_a003697,A03,a003697,1,10
69,a_a001244,A02,a001244,1,08
70,a_a002245,A02,a002245,2,09
71,a_a007884,A03,a007884,1,10
72,a_a000877,A01,a000877,2,08
73,a_a002159,A01,a002159,1,09
74,a_a001226,A02,a001226,2,09
75,a_a001595,A03,a001595,1,09
76,a_a002056,A03,a002056,1,09
77,a_a005324,A01,a005324,2,10
78,a_a006674,A03,a006674,1,10
79,a_a002737,A03,a002737,1,10
80,a_a002979,A01,a002979,2,10
81,a_a003599,A03,a003599,1,09
82,a_a006656,A03,a006656,0,10
83,a_a018000,A01,a018000,0,11
84,a_a006976,A03,a006976,1,10
85,a_a004818,A03,a004818,1,10
86,a_a010193,A02,a010193,2,10
87,a_a000822,A03,a000822,1,08
88,a_a011614,A01,a011614,2,10
89,a_a002410,A02,a002410,2,09
90,a_a009817,A01,a009817,2,10
91,a_a006410,A03,a006410,2,10
92,a_a013672,A03,a013672,1,10
93,a_a010301,A01,a010301,1,10
94,a_a007878,A03,a007878,1,10
95,a_a000714,A03,a000714,1,08
96,a_a013867,A03,a013867,2,10
97,a_a001264,A01,a001264,1,08
98,a_a004178,A03,a004178,1,10
99,a_a003426,A03,a003426,1,10
100,a_a006562,A03,a006562,1,10
101,a_a003901,A03,a003901,1,10
102,a_a000780,A03,a000780,1,08
103,a_a007436,A02,a007436,2,10
104,a_a000342,A03,a000342,1,08
105,a_a005139,A01,a005139,0,10
106,a_a005193,A03,a005193,0,10
107,a_a006750,A03,a006750,1,10
108,a_a014948,A01,a014948,2,10
109,a_a000056,A03,a000056,2,08
110,c_c005920,A03,c005920,2,10
111,a_a015245,A03,a015245,1,10
112,a_a007424,A03,a007424,1,10
113,a_a001623,A01,a001623,1,09
114,a_a002426,A03,a002426,1,09
115,a_a000924,A01,a000924,1,09
116,a_a006636,A01,a006636,2,10
117,a_a003715,A03,a003715,2,10
118,a_a004767,A03,a004767,1,10
119,a_a003666,A01,a003666,2,10
120,a_a003517,A03,a003517,1,10
121,b_b006889,A01,b006889,2,10
122,a_a010333,A03,a010333,1,10
123,a_a007533,A01,a007533,2,10
124,a_a007370,A03,a007370,0,10
125,a_a018006,A01,a018006,0,11
126,d_d007564,A03,d007564,2,10
127,a_a000018,A03,a000018,1,08
128,a_a006045,A02,a006045,0,10
129,a_a006026,A03,a006026,0,10
130,a_a007941,A03,a007941,0,10
131,a_a006184,A01,a006184,1,10
132,a_a004282,A01,a004282,0,10
133,a_a007058,A01,a007058,1,10
134,a_a001730,A03,a001730,1,09
135,a_a002704,A01,a002704,1,09
136,a_a007351,A03,a007351,0,10
137,a_a007894,A03,a007894,1,10
138,a_a006799,A03,a006799,1,10
139,a_a007322,A03,a007322,0,10
140,a_a007399,A03,a007399,0,10
141,a_a015109,A03,a015109,2,10
142,a_a005458,A03,a005458,1,10
143,a_a018008,A03,a018008,0,11
144,a_a004519,A03,a004519,1,10
145,a_a002782,A01,a002782,2,10
146,a_a009615,A02,a009615,2,10
147,a_a010365,A03,a010365,1,10
148,a_a007194,A03,a007194,0,10
149,a_a005302,A01,a005302,2,10
150,a_a007264,A03,a007264,0,10
151,a_a012085,A03,a012085,2,10
152,a_a002004,A03,a002004,1,09
153,a_a007138,A03,a007138,2,10
154,a_a002652,A03,a002652,1,09
155,a_a006263,A03,a006263,1,10
156,a_a005705,A01,a005705,2,10
157,a_a001927,A01,a001927,2,09
158,a_a017915,A03,a017915,0,11
159,a_a000503,A01,a000503,2,08
160,a_a003653,A03,a003653,1,10
161,a_a001532,A02,a001532,2,09
162,a_a001107,A03,a001107,1,08
163,a_a002155,A03,a002155,2,09
164,a_a007348,A01,a007348,0,10
165,a_a004683,A03,a004683,0,10
166,a_a018147,A03,a018147,0,11
167,a_a005095,A01,a005095,1,10
168,a_a017957,A03,a017957,0,11
169,a_a002219,A01,a002219,2,09
170,a_a000407,A01,a000407,2,08
171,a_a001677,A01,a001677,2,09
172,a_a005702,A01,a005702,1,10
173,a_a003372,A03,a003372,1,09
174,a_a007100,A03,a007100,2,10
175,a_a002722,A03,a002722,2,09
176,a_a017480,A03,a017480,1,11
177,a_a003643,A01,a003643,2,10
178,a_a003229,A03,a003229,1,10
179,a_a000942,A03,a000942,1,08
180,a_a007607,A01,a007607,0,10
181,a_a006002,A01,a006002,0,10
182,a_a004093,A03,a004093,1,10
183,a_a005397,A03,a005397,1,10
184,a_a018046,A03,a018046,0,11
185,a_a007866,A03,a007866,2,10
186,a_a006719,A01,a006719,2,10
187,a_a007017,A01,a007017,2,10
188,a_a000030,A01,a000030,2,08
189,a_a001998,A03,a001998,2,09
190,a_a007658,A01,a007658,2,10
191,a_a001866,A01,a001866,1,09
192,a_a004417,A03,a004417,1,10
193,a_a006134,A03,a006134,1,10
194,a_a007924,A03,a007924,0,10
195,a_a001039,A03,a001039,1,09
196,a_a005845,A01,a005845,2,10
197,a_a005246,A03,a005246,1,10
198,a_a002276,A03,a002276,1,09
199,a_a001278,A03,a001278,1,08
