,VISIT_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM
0,3438.0,a_a015688,프로방스마을,경기 파주시 탄현면 성동리 82-1,60.0,7,1.0,4.0,4.0,4.0,10
3,823.0,a_a000491,더현대서울,서울 영등포구 여의도동 22,180.0,4,0.0,5.0,5.0,5.0,08
4,185.0,a_a000172,강릉중앙시장,강원 강릉시 성남동 50,30.0,4,0.0,4.0,4.0,4.0,08
5,3124.0,a_a000554,청계천,서울 종로구 서린동 148,60.0,7,0.0,4.0,4.0,4.0,08
12,1499.0,a_a005195,삼송역 3호선,경기 고양시 덕양구 삼송동 18-5,0.0,7,0.0,3.0,2.0,3.0,10
17,1563.0,a_a003234,서울 그로서리 클럽,,30.0,3,0.0,4.0,3.0,3.0,10
18,2990.0,a_a004298,제부도 워터워크,경기 화성시 서신면 송교리 377-46,0.0,2,0.0,2.0,3.0,3.0,10
19,2670.0,a_a018121,의정부제일시장,경기 의정부시 의정부동 160,60.0,4,0.0,5.0,5.0,5.0,11
24,823.0,a_a003810,더현대서울,서울 영등포구 여의도동 22,90.0,3,0.0,5.0,5.0,5.0,10
25,258.0,a_a000537,경복궁,서울 종로구 세종로 1-91,30.0,2,1.0,3.0,3.0,3.0,09
28,213.0,a_a002400,갤러리아백화점 타임월드점,대전 서구 둔산동 1038,30.0,4,1.0,3.0,3.0,3.0,09
30,2906.0,a_a003071,자라섬재즈페스티벌,경기 가평군 가평읍 달전리 27,390.0,8,1.0,4.0,3.0,3.0,10
36,2092.0,a_a005705,아모레퍼시픽미술관,서울 용산구 한강로2가 424,60.0,3,0.0,4.0,3.0,4.0,10
38,1746.0,a_a000658,세운전자상가,서울 종로구 장사동 116-4,0.0,2,0.0,4.0,2.0,3.0,09
41,313.0,a_a003617,고양꽃전시관,경기 고양시 일산동구 장항동 906,60.0,3,0.0,1.0,4.0,4.0,10
43,2689.0,a_a001919,이마트 남양주점,경기 남양주시 호평동 637,60.0,4,0.0,4.0,4.0,4.0,09
44,2107.0,a_a017794,아차산 4보루,경기 구리시 아천동 52-2,30.0,1,0.0,5.0,5.0,5.0,11
47,1822.0,a_a001965,송도센트럴파크,인천 연수구 송도동 24-5,30.0,7,0.0,3.0,2.0,2.0,09
54,615.0,a_a003557,남도꽃정원,경기 가평군 가평읍 달전리 산 5-5,30.0,1,0.0,4.0,4.0,3.0,10
60,1610.0,a_a004696,서울숲,서울 성동구 성수동1가 678-1,30.0,1,1.0,5.0,5.0,5.0,10
64,1136.0,a_a002054,메가박스 의정부민락,경기 의정부시 민락동 813-4,180.0,3,0.0,5.0,5.0,5.0,09
65,258.0,a_a005603,경복궁,서울 종로구 세종로 1-91,90.0,2,0.0,1.0,5.0,5.0,10
68,2113.0,a_a002345,아침고요수목원,경기 가평군 상면 행현리 623-3,120.0,1,1.0,5.0,5.0,5.0,09
72,864.0,a_a013857,동구릉,경기 구리시 인창동 66,60.0,2,0.0,5.0,4.0,4.0,10
74,606.0,a_a009676,난지한강공원,서울 마포구 상암동 495-72,30.0,1,1.0,5.0,5.0,5.0,10
76,1410.0,a_a000196,북악팔각정,서울 종로구 평창동 산 6-17,60.0,7,1.0,5.0,5.0,5.0,08
78,918.0,a_a000087,두타.밀리오레,서울특별시 중구 을지로6가,60.0,4,1.0,5.0,5.0,5.0,08
82,956.0,a_a003178,라온아트홀,서울 종로구 동숭동 1-61,180.0,3,0.0,5.0,5.0,5.0,10
