key,value
1047,미스틱3도
2494,이호테우해수욕장
1996,어음리억새군락지
1306,산양큰엉곶
1110,백약이오름
881,마노르블랑
3264,파더스가든
697,덴드리
1671,송악산
3528,항파두리 항몽유적지
1644,소천지
133,거북이한과
2768,제주소나이
1625,소노캄제주 수영장
1416,서귀포매일올레시장
2853,제주특별자치도 민속자연사박물관
1559,성산일출봉
2197,올레길 4코스(표선-남원 올레)
745,돈내코유원지
3516,함덕해수욕장
2268,용두암
3062,청굴물
2889,조간대
1274,사려니숲길 입구
1599,세기알해변
383,김녕리도대불
1462,서우봉
2717,제주동문시장
1540,섭지코지
2838,제주차귀도요트투어
2922,주상절리대
2740,제주민속촌
2024,에코랜드
2626,정방폭포
13,9.81파크
1598,세계조가비박물관
1257,사계해안
3162,큰엉
364,금오름
2251,외돌개
1434,서귀포제트보트
350,금능해수욕장
2039,여미지식물원
2719,제주동문재래시장
3054,천지연폭포
1351,상가리야자숲
258,교래자연휴양림
2712,제주돌문화공원
1250,뽀로로앤타요테마파크제주
2423,윈드1947카트테마파크
2026,에코랜드 테마파크
239,곽지해수욕장
284,국립 제주박물관
1240,비체올린
2243,왕이메오름
2601,저지예술정보화마을
1211,브릭캠퍼스 제주
1597,세계자동차&피아노박물관
1985,어린왕자감귤밭
2654,제주 도립미술관
2867,제주항공우주박물관
3085,촛대암
242,관음도
734,독도유람선
2782,제주시민속오일시장
3603,협재해수욕장
2678,제주4.3평화공원
1198,북스토어 아베끄
914,만장굴
967,모슬포항
1369,새별오름
1237,비자림
2142,오설록티뮤지엄
2807,제주아트센터
204,고씨주택
2783,제주시산림조합 나무시장
1311,산지천갤러리
2732,제주목 관아
321,귤림서원
1155,보롬왓
607,닭머르
2308,우도봉 입구
2294,우도 봉수대
2276,용머리해안
1263,사라봉
1983,어리목매표소
2318,우도정원
2293,우도
706,도두동무지개해안도로
1078,바이제주
606,달콤다락
709,도두봉
2721,제주동문재래야시장
2699,제주다움렌터카
2307,우도보물섬레저
3457,한라산국립공원 영실탐방로
1823,신풍신천 바다목장길
2320,우도팔경동굴보트
3353,하고수동해변
544,노형수산시장
395,김녕해수욕장
1231,비양도망대
2491,이호테우등대
2183,올레길 15-B코스 일부 곽지해변산책로-한담애월산책로
231,과물노천탕
1276,사진놀이터
3472,한라수목원
524,넥슨컴퓨터박물관
291,국립제주박물관
2027,에코랜드테마파크
1708,수목원테마파크
2874,제주해양동물박물관
2935,중문대포주상절리대
1688,쇠소깍관광지
420,꽃지해수욕장
3197,태안해변길
1926,안면도자연휴양림
1097,방포해수욕장
3577,해지개길
1768,승언2저수지
1925,안면도수산시장
1793,신비의도로
2940,중문색달해수욕장
2764,제주성읍마을
117,개똥이네농장
125,거린사슴 전망대
670,더마파크
2312,우도산호해변
1963,애월해안도로
3422,한담해변
3477,한림공원
2253,외돌개 전망대
3446,한라산1100고지
873,루나폴
1284,산굼부리
1674,송악산둘레길
3423,한담해안산책로
2385,월령선인장군락지
205,고양이선장카페
509,너븐숭이4.3기념관
2424,윈드밀108 실내수영장
3133,컨테이너야드협재타운
1256,사계해변
1614,세화해변
3318,포도호텔
3314,폐동밭
1779,식산봉
2680,제주901
288,국립산림과학원 난대아열대산림연구소 한남연구시험림
1094,방주교회
442,나홀로나무
1377,새연교
583,다랑쉬오름
3331,표선해수욕장
1891,아부오름
1290,산방사
2476,이중섭거리
1208,붉은오름자연휴양림
2873,제주해비치호텔앤리조트 수영장1
1746,스누피가든
2814,제주오름승마랜드
2803,제주실탄사격장
416,꽃밭
384,김녕미로공원
2776,제주승마장
3079,청춘분식 덕분이네밥상
739,독일마을
1143,별해로
3309,평산항 및 유구마을
1037,미국마을과 용문사
2604,적량해비치마을
2376,원예예술촌
268,구읍뱃터
94,강화광성보
289,국립생물자원관
3361,하늘문화센터
2590,장화리 일몰조망지
2681,제주i
3317,포도뮤지엄
834,따라비오름
370,기당미술관
2454,이니스프리 제주하우스
1583,성이시돌목장
2059,여수장도근린공원
2057,여수예술랜드
840,라마다 여수해상짚트랙
2058,여수예술랜드 미디어아트 조각공원
2048,여수베네치아호텔기념품
2066,여행집
550,녹테마레
2462,이사부크루즈 국동유람선
2049,"여수삼합당, 여수바다소금집"
2369,웅천친수공원
2053,여수소호요트장
2158,오징어회타운
702,도동항
504,내수전몽돌해변
3416,한국해양과학기술원 울릉도독도해양연구기지
3037,천부해중전망대
733,독도식품
129,거북바위
729,독도
1720,수월봉
190,고산성당
3182,탑동놀이공원 및 삼도이동 해수욕장
3329,표선항
1910,아쿠아플라넷 제주
252,광치기해변
2608,전등사
768,동막해수욕장
843,라베니체마치에비뉴 4차
102,강화부근리고인돌
410,김포아트빌리지
