key,value
430,광안리해수욕장
2771,절영해안산책로
950,동백섬
2360,오륙도스카이워크
3712,흰여울문화마을
2642,이기대해안산책로
2706,자갈치시장
3236,태종대유원지
3096,초량차이나타운
2447,용두산공원
1211,문막교
2384,오죽헌
2787,정동진해변
2126,안목해변
2748,장호항
142,강릉중앙시장
1239,미래농원(mrnw)
3703,휴휴암
776,대관령삼양목장
1003,등대해수욕장
869,대포항원조튀김골목
1864,속초관광수산시장
1873,속초아이
2079,아바이마을
125,강릉대도호부 관아
1837,소돌해변
998,들꽃사랑
3341,풍년갈비
3091,초당커피정미소
1835,소도리
118,강냉이소쿠리
3540,허균허난설헌기념공원
3409,하평해변
3381,하슬라아트월드
1812,센텀시티 스파랜드
3232,태종대 다누비열차
3234,태종대 전망대
1378,보수동책방골목
25,BIFF거리
513,국제시장
850,대왕암공원 출렁다리
2024,신정시장
3646,황리단길
619,꽃길한복
3015,철원한탄강 주상절리길
1371,보문콜로세움
2989,천마총
2569,월정교
930,동궁과월지
443,교촌마을
1736,선덕여왕공원
3508,해운대블루라인파크 송정정거장
3516,해운대해수욕장
1447,부산시민공원 다솜마당
1908,송정해수욕장
2350,오대산월정사 전나무숲길
3416,한강시원지체험관
2428,왕조실록 의궤박물관
2738,장생포고래생태체험관
847,대왕암
1314,배내골
3260,통도사
346,경포해수욕장
567,금진항
914,도째비골스카이밸리
2320,영진해변 도깨비 촬영지
523,군위아미타여래삼존석굴
2329,영화 리틀포레스트 촬영지
280,경주문무대왕릉
302,경주엑스포대공원
829,대릉원
315,경주중앙시장
1500,불국사
1499,분황사
3022,첨성대
311,경주월드
2759,저잣거리
439,교동최씨고택
1390,봉길대왕암해변
312,경주월성
1878,속초해수욕장
2257,영금정
191,갯배st 속초청년몰
3188,캘리포니아비치
1725,석굴암
2746,장태산자연휴양림
1373,보문호
1214,문수경기장
1141,메이크업빈-메이크업샵
3215,타코파파
2528,울진왕피천공원
2529,울진은어다리
3687,후정해수욕장
2732,장사해수욕장
2251,연호공원
3437,한울에너지팜
2527,울진엑스포공원 울진아쿠아리움
2862,죽변등대공원
1001,등기산스카이워크
2866,죽변해안스카이레일
1789,성류굴
2523,울진대게홍보전시관
1777,설악해변
2184,양양팜서프
3116,춘천 명동입구와 거리
3074,청춘네컷
411,공지천조각공원
1389,봄내극장
2648,이사부사자공원
1637,삼척해변
2051,쏠비치 삼척
1762,설악산국립공원 울산바위코스
2675,인생네컷 경포(GS25 경포윌점 근처)
2652,이스트요가
1553,사근진해변
1126,매지저수지
3168,칠봉체육공원
95,간현관광지
3001,천지인전통사상체험관
3531,해피츄밸리
1181,무섬마을
3155,치악산
2551,원주옻칠기공예관
279,경주루지월드
3237,태종무열왕릉
1748,선학산
2204,에나몰
1544,비플레인
1062,롯데워터파크
36,CGV 진주혁신
2921,진주 차없는거리
